90843,57825,43708
95218,41599,31620
4075,10679,64621
69435,58022,64321
10556,58392,75145
4332,65232,16342
57196,17771,39466
46686,23009,75814
78365,4630,10013
53028,1941,34307
79810,39791,16098
72478,84106,92894
70346,95523,45898
35606,79964,46160
44935,56453,28928
39051,57901,44686
44115,38987,68567
86138,83945,24360
19612,24002,42021
82759,80328,14133
8764,85548,19766
64435,80536,39132
31215,82627,72411
48245,76686,22478
48850,96726,4638
2376,36547,90800
36876,64366,96390
1730,78732,98027
79524,20933,64482
22,47889,78765
5252,2359,19960
79569,6734,64339
66943,83341,24768
30164,64589,72407
54467,76613,2621
47095,5223,4678
21126,50042,57396
34839,54463,50918
9547,66831,62785
40431,59444,79214
78185,71096,96343
20727,38879,19218
24628,40447,77905
71734,51138,73778
12117,35039,51150
33699,46719,4963
82515,88242,20767
75951,75977,21985
74955,47933,55992
69217,33426,8012
63143,51726,10322
37212,81464,38302
30884,78190,81934
84812,16124,45887
2878,17897,34283
33964,92083,65449
36310,53956,6500
68478,80551,65880
73630,63202,53185
88403,92421,96983
77838,15305,60402
33817,36201,77585
98950,15847,89868
69264,1547,56918
9363,99780,72899
72666,65022,85479
78581,7703,92301
26319,42235,5358
25884,89452,23771
29677,35525,87696
14327,56455,79109
94528,53467,75275
48790,64195,34894
67,42532,85319
16613,79893,77883
36178,46206,96479
78273,56862,16831
52091,60235,94750
25245,91605,89916
55669,95659,28495
24957,98497,88225
66941,66087,74245
85944,79911,71504
96721,61722,150
23308,45747,86559
94307,34247,89624
5168,67363,34426
61643,56423,74762
52275,78670,17605
97346,8907,92258
95007,63746,11718
16296,81731,70618
10033,73041,29385
82141,90057,42534
56527,12737,70490
85540,91456,61199
73662,32761,37643
82731,54704,77068
80028,1019,88850
55223,60842,75769
23982,25888,17030
66672,46448,32028
46995,7025,40665
17506,86254,94348
53573,78522,96300
56278,17816,19486
80896,93966,65163
58910,9752,81573
32525,26917,29081
53325,56047,20513
78138,84586,87172
91931,54037,28250
20244,36348,96493
11314,5653,20589
49983,4582,18597
82114,51591,87675
55605,15383,8854
6725,67764,28535
99558,64294,64352
62131,87021,21941
99177,2288,68538
36965,65516,12533
29992,97686,25164
23605,93928,99365
78584,67304,67243
95853,53719,90753
76641,81844,8378
65958,21740,52145
47786,68808,39711
33891,41453,50877
13453,97835,66796
82928,12374,24442
87882,29172,56955
58248,91464,94856
51404,72057,52729
40982,57089,35539
82984,16601,58406
44478,13086,86330
36196,18734,19603
42953,94819,66942
86749,48370,54177
76312,6414,21531
10583,81049,47139
91585,87138,66888
969,70312,56226
56489,73220,19655
62659,39752,90546
92241,56033,82696
6523,67948,7493
41147,95621,71266
66187,591,68497
11779,24307,93544
24229,25221,69873
2328,62867,30951
2036,35146,82777
49656,27535,74368
8607,45577,1152
24992,75083,47442
73275,5925,17012
7597,69483,88225
22789,96156,94094
88105,74148,16701
62936,24298,2804
34508,10597,65035
87255,98513,23504
48864,95014,57996
11596,16714,85752
48991,55656,83747
51722,63548,62056
31565,54057,37791
17424,7854,6256
96025,85620,82329
29948,41903,8481
59594,40540,35250
17403,1232,7948
49807,91568,95147
49926,98800,16162
86959,14291,53064
42997,76853,93895
63875,45421,69686
35423,77474,66798
64176,73491,57494
47478,25978,64650
44288,23501,42610
3121,3995,14952
11784,37969,36060
23929,87721,2468
14485,80949,14621
29753,59495,57883
8047,30844,29310
66770,61211,63307
78684,3376,22981
61502,86966,63762
14859,18397,71314
37159,12933,11117
38569,67130,45192
12062,72703,25294
40722,51406,71938
35604,5656,31075
83023,27534,85732
10507,78400,72709
92175,72636,34758
97506,74912,19861
52652,88595,18354
95919,95112,69184
92419,21887,70377
71173,73297,57391
49159,90790,85090
87420,26775,13028
16413,61058,84876
96741,24107,81778
94286,720,39797
48079,56514,94485
27850,1404,98809
60649,15636,46872
52364,6826,35402
33211,74977,24107
66860,47670,33506
18353,44759,77854
90124,15075,47670
28601,75112,6465
10844,21787,86589
88616,79923,82485
83403,45903,43814
87037,28684,25182
33468,16441,82333
30271,90667,64151
85170,98928,12219
