337747795251101, 352770699304207, 304283080583429 @ -260, 31, -268
295805626738885, 471810475404051, 254414830934065 @ -170, -247, -154
259860574189691, 441258582212690, 269923434546818 @ -98, -204, -193
177804545833708, 342773716622136, 314481603997531 @ 181, 102, -364
234453638876900, 404982086764658, 298798197590552 @ -35, -183, -370
321900338863048, 422524702701876, 196014130480006 @ -272, -152, 14
180903034386943, 404304508072356, 284523803611111 @ 168, -126, -252
240916503511374, 384076792428397, 219186587821950 @ -53, -51, -13
217006922935140, 323727258939841, 363055201313619 @ 13, 93, -394
299903018712128, 393197149518331, 245025924274761 @ -215, -71, -122
210675853741760, 292955797888751, 210497948554415 @ 25, 153, -64
244453817340598, 348235511867381, 287410871299866 @ -121, 199, -361
235110423089844, 322797558482294, 298568407733062 @ -27, 99, -255
204323185802386, 310205896786938, 293529228849016 @ 60, 169, -262
237468421503904, 481526720066071, 195558314433366 @ -31, -237, -37
168623716623658, 384634195498676, 331720591893286 @ 188, -50, -399
157609897929284, 370764205895044, 286097322458026 @ 133, -11, -222
162160936530180, 458022619031436, 353902174916466 @ 159, -232, -407
170392694590152, 432314807274456, 296354008643819 @ 177, -202, -280
270166536291832, 336913985288850, 287428578429394 @ -205, 167, -289
330516416234766, 353255403406471, 208911628748483 @ -257, 33, -44
194950206151918, 321843720959676, 229823256423146 @ 62, 98, -101
227855228497928, 388053348487372, 300936252300369 @ 1, -86, -374
238417001751639, 393146381480707, 270314859155566 @ -86, -189, -237
260466684974708, 355091901446524, 256803082416882 @ -144, 69, -145
142454672888188, 486730854108988, 298934784271122 @ 176, -264, -253
285973702113658, 419006953482288, 233428367039860 @ -194, -160, -78
167574748150678, 387755926875936, 274939761989026 @ 124, -48, -201
298289929491955, 383427791797188, 258104998631726 @ -238, -46, -157
277017891918325, 339168207006024, 221780278838161 @ -260, 174, 48
284102139860308, 418131287406156, 268016180690866 @ -239, -198, -193
240630566333924, 375572770308716, 265722498420914 @ -102, -17, -191
256967566224213, 359017927174220, 274884104739146 @ -114, 42, -217
257440315697818, 391474092025608, 237558081251206 @ -184, -120, -7
194854088915158, 441743796014792, 361166699515438 @ 56, -156, -375
255511407644758, 405874732463076, 232630154681836 @ -138, -170, -20
264554303007009, 370339573170815, 269634976261314 @ -116, -5, -193
265622803450164, 346247877807484, 276700398103378 @ -117, 64, -213
181720177614184, 388853745429112, 304995355671142 @ 212, -81, -366
244765916442820, 313508921940444, 242777977100554 @ -67, 206, -99
287209969703482, 409429729617448, 216428534177762 @ -196, -128, -25
269871383716066, 401227494696003, 239584167284113 @ -173, -123, -78
203403381512758, 421772102485755, 308911796155000 @ 131, -265, -415
241895942958673, 345806359145856, 287302929537016 @ -102, 222, -363
330390803522772, 405843113220080, 216049927137726 @ -255, -93, -62
143171668923892, 289159584782908, 249643106011506 @ 224, 217, -137
202992374217604, 380222576364684, 282881133982450 @ 183, -51, -309
230726639698938, 477419064679336, 235008225883806 @ -17, -258, -109
218488916969044, 358110388876938, 271654325003128 @ 53, 77, -218
230080474085884, 396054314751894, 296922941521408 @ -15, -75, -264
221498962615608, 401765349060016, 239125440990166 @ 51, -200, -3
178053876247428, 438347754235164, 196278988328762 @ 141, -208, 26
185809959476303, 470454323965815, 319525006307919 @ 96, -259, -316
226401316122982, 369048844644486, 236706860425136 @ 14, 23, -2
305288112103342, 330507756724272, 195451375400722 @ -242, 116, 31
286456039289765, 338727762012623, 344803589816760 @ -132, 55, -343
279439725678016, 421298834667264, 223827797564134 @ -198, -191, -26
239751419442940, 392304436487043, 257780388116518 @ -75, -133, -133
290941966411152, 363636097767906, 273627287544150 @ -233, 23, -211
197222172165532, 359281208989948, 298835723040810 @ 230, 100, -428
260242328226948, 337833445304796, 268674449345586 @ -147, 149, -197
263813186956588, 364837855029918, 327847181812849 @ -139, 20, -414
224714112179326, 367719770519898, 294734600887906 @ 35, 44, -417
266943079672840, 318541549152207, 314366830846876 @ -167, 219, -387
205333054504974, 349725219405460, 272058344423778 @ 168, 166, -233
160305672472226, 439276685841536, 369311398728393 @ 139, -162, -410
143763199585759, 350554486490350, 241932047754844 @ 194, 40, -123
156428336048204, 369027413143636, 181949708304642 @ 193, -2, 55
209299976070757, 372966241001190, 285581501374141 @ 80, -8, -272
263166749984284, 395813742895932, 212919071014954 @ -112, -80, -26
163604551326708, 424043981523846, 212531524721346 @ 181, -163, -25
262129470771613, 372024104376231, 237116208443596 @ -116, -9, -91
259970186948400, 340356969695116, 298169432826578 @ -146, 138, -329
270809123879503, 452324300722992, 248880724252647 @ -124, -226, -136
150537605650118, 292099827987456, 247647791371876 @ 172, 176, -138
197077633081312, 432936048378447, 264494239891567 @ 97, -213, -178
157986705652548, 360938002145418, 160698982833136 @ 141, 11, 48
270200202414318, 402308771629968, 232465242223063 @ -249, -178, 12
207346476563803, 407709623983296, 288435410980891 @ 70, -138, -266
188438640273908, 371803027773796, 366453932771302 @ 81, -12, -414
172681213092828, 314029768108116, 279320739152766 @ 129, 134, -215
260232012727996, 390605756973932, 223695990670234 @ -193, -110, 69
237008686775648, 366626445064331, 309754671677482 @ -39, 13, -345
247976789678340, 394317244065788, 289507418591506 @ -155, -173, -387
218823124852900, 441804447170076, 209019874015522 @ 15, -197, -30
247869538813966, 388133359561812, 262931952744898 @ -122, -98, -169
254431891207654, 369952676226062, 320044409689854 @ -82, -5, -331
193629326687722, 434151543477143, 206988020450210 @ 119, -233, 31
272937267361810, 332667962643521, 235430054498002 @ -157, 123, -81
208334959372711, 423052592241012, 254853236581333 @ 88, -238, -134
183313159615490, 448312033216510, 338099860544364 @ 94, -191, -350
226032914306288, 348356617678376, 179205212646326 @ -6, 43, 22
269107374304612, 327971658999804, 283183923276082 @ -185, 191, -261
167320215067322, 402745368546620, 267013152024732 @ 232, -126, -188
216174856551555, 397144773036610, 295449364112829 @ 88, -168, -394
197427892388854, 373546701774530, 267502300244488 @ 74, -15, -186
311880252232576, 431909595019004, 248363919719674 @ -232, -170, -135
221262579259344, 369957446819662, 302323587519024 @ 43, 15, -406
269295719807377, 429456083750179, 330784836983870 @ -130, -179, -373
211048721258920, 337000714861356, 186940762562974 @ 23, 58, -19
191678484421227, 467332857195004, 356727545918387 @ 72, -230, -388
327669027305934, 345799940514361, 362612796295067 @ -225, 43, -388
237551712797683, 432680918806599, 245342347351945 @ -44, -259, -98
216271056579598, 373673941862001, 282932059248961 @ 75, -7, -292
229859064184998, 337281284597001, 257637726452288 @ -9, 203, -139
313155207305088, 476090763753771, 150297074860431 @ -183, -223, 52
267195657555550, 377535794862129, 244185533617327 @ -245, -31, -50
244714859278600, 358919575067040, 298223112430354 @ -90, 71, -361
259526326290334, 296748469844292, 183612720204340 @ -88, 174, 22
247973976593092, 409247825854220, 241992512368498 @ -112, -210, -51
290537452351208, 278751253540876, 200300046535186 @ -174, 234, -9
216578198471543, 334955817875052, 330656012167431 @ 16, 74, -332
197990010938948, 465539968018396, 327434625224946 @ 49, -203, -305
222975579577028, 376950858266316, 203652208952946 @ 12, -25, 41
278242928332962, 355842296296774, 217538959211732 @ -210, 61, 14
269964662697008, 307681876047676, 300726681935886 @ -102, 126, -256
261879916127795, 480907851897613, 347631593219242 @ -80, -233, -345
208705061203926, 407529290787414, 234724135612538 @ 99, -184, -25
248388821194443, 338497463319726, 318119066848061 @ -86, 128, -392
308231970205138, 303469797968538, 251866617007969 @ -249, 196, -140
197935217922973, 341255158931201, 315429504494051 @ 92, 93, -346
284186190207130, 356855314824744, 244193539919572 @ -232, 56, -96
261750251870224, 378155860528146, 237292730358742 @ -167, -32, -45
322006204039888, 307508700500221, 255075336968981 @ -247, 151, -154
294643228803826, 268147687446720, 148060975120114 @ -158, 216, 79
258226218991746, 296194397497362, 196675370748769 @ -77, 152, -30
282877366075149, 363193647365420, 284390556793136 @ -146, 10, -227
117994428472860, 327504708323558, 183335586964162 @ 217, 79, -9
192839019217991, 434680494296262, 191732668591271 @ 112, -220, 68
186319373667976, 391984022542980, 321595602141574 @ 78, -56, -300
298796439050939, 329329690498050, 299473417503831 @ -200, 104, -272
166447457192228, 381817222374718, 231220816649443 @ 141, -36, -96
178054307500084, 426426732664118, 303849219682226 @ 197, -225, -337
245595251068370, 402647487573070, 240498784063579 @ -113, -200, -18
198774012192832, 365738650541454, 243438709885942 @ 79, 9, -115
206236409006983, 419610738208341, 261261646900081 @ 76, -185, -166
271737174117124, 421863044556940, 239026820918770 @ -220, -251, -51
272547168928900, 388598298792972, 265476825344242 @ -275, -100, -185
260417745884052, 338947913419900, 311093191369666 @ -102, 85, -312
261478289488608, 376715539619434, 232211076614733 @ -119, -24, -70
200977394375428, 386770367273196, 247242478767826 @ 185, -93, -64
218680113691006, 358740630018204, 231870344429980 @ 82, 114, 76
280104546327232, 416550526589246, 318293126651030 @ -193, -167, -371
272409393558420, 395071800555128, 221914484432070 @ -131, -74, -61
252953345036484, 354430528712972, 261485868049298 @ -153, 114, -160
164267468408985, 333413964020220, 324100580189484 @ 208, 122, -379
234556627295044, 400261124041956, 238567563185338 @ -43, -217, 30
216569084877858, 405341202613561, 282562534926241 @ 111, -275, -336
241559352060413, 352809485020218, 287504952834244 @ -114, 200, -399
282446443612333, 333394169590311, 302037581777275 @ -144, 83, -270
272947425911857, 441496795501647, 304669549549949 @ -112, -169, -268
248917015566178, 440645634276072, 244198427436136 @ -84, -264, -102
227751248189488, 360398777160474, 283941232437769 @ 1, 60, -280
249767999933521, 313534761556608, 158059520873845 @ -62, 126, 74
195506994800542, 313049798075682, 231148091665666 @ 112, 207, -57
134013410791192, 423747470998344, 212867565330070 @ 192, -125, -66
183779906577619, 402193250603070, 228106655110903 @ 234, -160, 14
246448502323666, 401580345556527, 269069999629546 @ -141, -231, -217
249290650072857, 397407754327784, 247034351705952 @ -182, -218, -19
221166925702802, 320723342846488, 268008298212976 @ 22, 196, -192
333338373032128, 365649235301976, 319888867882006 @ -262, 3, -310
246665240329312, 379557000661912, 202553487306710 @ -76, -35, 56
