Card   1: 37 23 81 38 96 62 35 89 94 70 | 81 32 94  8 65  1 83 70 38 96 23  6 89 35 37 51 62 42 92 30 45 78 48 46 19
Card   2: 14 66 18 23 11 46 45 73 77 32 | 32 18 97 54 90 61 45 77 14 15 80 82 46 43 93 74 29 66 95 41 63 49 23 73 17
Card   3: 71 57 95 12 58  3 69 78 48 68 | 60 42 94 45 33 91 79 21 57 58 96 30 55 13 59 12 26  3 69 48 95 71 68 29 78
Card   4: 70 97 78 40 53 75 33  7 94 30 | 53 11  4 40 52 86 33 61 39 76 97 94 43 54 78 95  9 75 36 70 72 35 30 55  7
Card   5: 25  9 36 72  4 44 99 33 62 40 | 69  9 58 72 62  4 33 79 48 25 68 21 88 36 52 99 40 83 13  2 44 28 14 75 38
Card   6: 93 52 43 92 54 79 80 81 64 82 | 36 72 47 80 93 79 68 54 43 92 51 88 11 18 55 81 56 52 57 82 78 21 64 22 90
Card   7: 60 96 45 42  9 25 98 91 65 83 |  6 60 55 15 96 83 47 16 46 42 53 77 65 33 91  9 82 85  3 45 30 36 39 25 98
Card   8: 86 29 42 22 61 73 68 74 45 44 | 22 67 77 27 63 60 46 24 64 57 15 86 53 47 87 35 43 88 58  6 74 42 95 73 75
Card   9: 61 75 80 73 87 74 14 33  9 93 | 29 85 52 80 75 84 99 49  2 57 65 87 34 58 73 33  7 74 93 14  9 61 97 79 32
Card  10: 79 84  2 15 96 58 48 74  9 51 |  9  2 79 27 35 89 33 97 82 36 52 51 21 83 28 96 46 38 78 57 74 15 71 58 48
Card  11: 73 98 15  9 69 91  2  8 83 95 | 13 87 45 81  2 14 44 73 67 30 80 59 58 74 16 93 83 55 76  9 15 84 68 78 43
Card  12: 63 57 80  8 77 33 35  3 28 79 | 64 92 55 60 77 54 15 17  8  4 48 49 35 65 31 28  3 53 79 11 12 45 46 81 59
Card  13: 66 84 37 95  1 91  6 39 65  5 | 39 84  1 42 67  5 91 29 28  6 35 53 86 58  8 25  3 52 70 94 88 57 96 55 87
Card  14: 36 15 48 58 10  3 47 27 35 22 | 34 41 47 23 31 66 58 63 53 22 10 92 50 15  9 82 35 32 83 88 27 11 48 36  3
Card  15: 36 84 65 51 21 56 64 41 31 66 | 52 99 62  3 54 65 45 61 40 21 17 23 89 57 43 79 56 77 20 71 64 36 31 13 87
Card  16: 16 56 76 37 78 40 70 42 31 57 | 41 35 50 25 31 95 32  2 58 56 51 11 72 55 16 14 57 42  7 65 54 69 66 43 97
Card  17: 82 88 65 19 41 61 63 38 40 98 | 71 23 86 80 90 45 78 32 15 73 99 88 30 60 82 67 36 96 83 17 64 24 11 62 68
Card  18: 94 19 59 68 61 13  1 95 81 39 |  5 54 40 26 11 16 91 52 34 95 22 84  2 94  4 47 39  1 60 61 88 64 18 85 59
Card  19: 91 85 22 10  8 79 82 36 48 97 | 58 72 15 13 44 99 79 25  6 48 45 89 19 69 29 32  8 97 12 63 80 47  7 85 39
Card  20: 94 75 50 82 19 32 80 14  1 93 | 94 68 23  9  4 36 28 40 92 96 55 88 63 75 60 31 95 69  8 89 65 22  3 61 34
Card  21: 40 89 33 16 37 72 98 50 75 96 | 89 12 27 95 99 69 41 66 24  7 90 56 61 62 50 58 47 48  6 75 14 55 34 45  8
Card  22: 96 24 14 11 49  8 63 30 21  7 | 65 75 18 29 57  7 32 35 80 69 22 96 86 99 61 26 77 16 59  5 13 37 39 46 55
Card  23: 10 77  6 89 62 82 31  4 36 43 | 13 53 71 72  8 88 93 96 92  9 39 15 30 78 68  7 63 26 18  3 85 50 94 14 67
Card  24: 45 91 78 29 20 71 82 18 49 44 |  3 21 69 10 14 87  1 50 77 17 62 84 72  8 31 36 59 88 52 76 26 54 66 56 47
Card  25: 20 97 58 13 76 25 19 11 31  2 | 54 98 82 73 69 64 99 53 88 70 93 79  1 14 32 80 24 96 38 61 33 15  5 55 51
Card  26: 25 17 69 19 63 97 55 18 10 50 | 76 17 10 35 33 63 19 97 98 69 40  7 99 77 67 87 14 78 12 18  5 25 83 55 50
Card  27: 83  1 68 91 23 74 84 63 48 58 | 84  1 21 40 68 59 63  6  4 28 58 26 88 74 48 60  9  5 83 23 55 91 85 27 13
Card  28: 33  9 18 46 93 40  1  6 92  3 | 88 84 50 18 61 39 89 94  3  6 93  7 28 92 52 57 24 77  1 33 34 40 46 79  9
Card  29: 34 29 76 48 15 49 32 43  7 20 | 15  3 29 81 98 96 48 54 43 86 35 53 34 26 32  7 93 39 57  5 31 50 85 95 42
Card  30: 88 70 73  2 27 66 55 74 45 11 | 90 55 41 49 15 63 74 70 96 66 27 93 11 95  2 73 88 71 45 69 58 48 57 72 64
Card  31: 90 40 74 38  3 75 49 32 46 77 | 81 30 38 49 72 82 36 95 20 51 37 77 32 97 47 74 53 87 46 40 99 31 90 75  3
Card  32: 86 97 43 95  5 93 74 10 98 87 | 78  5  8  3 74 76 97 87 93 86 95 31 32  4 75 14 90 10 82 20 68 46 37 98  6
Card  33: 56 30 25 59 70 53 69 87 67 10 | 74 70 87 68 67 22 96 28 53 36 30 61 83 43 31  3 25 26 12 56 32 99 10 69 59
Card  34: 65 77 54 70 83 11 30 59 84  1 | 70 59 65 72 83 42 29 28 11  1 77 61 34 80 54 53 91 69 30 84 60 52 78 81 88
Card  35: 17 76 53 93 89 39 44 84 54 70 | 63 16 84 96 76 54 36 39 17 23 40 56 89 44 57 70 24 20 59 53 55  8 65 93 31
Card  36: 63 59 18  2 73 60 69 50 76 40 | 22 67 69 61 92 99 40 89 37 49 57 86 39 76 12 88 29 26 73 13 28 32 75  3 59
Card  37: 63 95 98 73 69 21 79 53  5 10 | 16 63 18 73 51 86 11 58 55 93  7 72 85 23 66 27 45 53 95 10 67 17  5 75 98
Card  38: 17 95 14 41 55 49 23 16  7 52 | 80 22 97 79 21 62 28 67 65 40 36 92 85 70  5  8 12 63 90 24 50 84 68 82 13
Card  39: 46 29 64 41 97 62  1 38 50 19 | 70 62 32 29 91 84 83 51 95 75 57 97 36 63  1 19 41 46 73  9 38 88 50 61 64
Card  40: 31 45 17 70 39 83 63 89 60 61 | 37 66 92 24 17 45  7 50 21 31 80 56 10  3 15 89 52 73 63 11 43 82 60 85 68
Card  41: 53  2 62 90 67 18 63 94 52 29 | 29 24 12 66 50 39 52 34 18 67 90 28 72 31 53  2 65 11 92 47 62 36  8 63 94
