66|96
70|37
62|52
40|17
38|37
90|76
91|90
67|81
81|70
96|95
72|59
67|77
21|89
54|67
56|44
75|79
40|43
91|36
20|96
89|94
39|37
74|36
38|72
94|56
29|99
94|17
62|95
37|94
66|56
79|91
30|81
40|83
21|87
12|45
43|88
89|26
37|40
11|44
52|88
12|42
56|37
39|26
72|52
49|66
20|94
90|56
87|79
82|36
82|26
12|36
32|36
37|47
72|42
36|67
56|32
67|82
17|70
81|42
30|56
66|11
90|67
66|45
40|79
42|21
90|88
96|32
30|40
74|26
29|76
81|44
11|94
45|32
42|89
43|49
79|77
72|54
94|83
87|83
32|59
93|29
49|59
67|95
43|91
62|39
91|89
56|38
37|49
67|70
96|76
83|47
49|20
45|56
75|93
89|75
37|26
96|11
89|12
94|32
45|52
26|11
77|72
52|39
83|89
79|82
36|95
36|93
17|30
16|49
12|94
70|20
36|81
62|88
20|56
87|11
17|36
99|79
99|42
40|42
44|16
59|38
54|17
42|74
76|93
99|43
96|44
17|89
72|67
95|83
59|67
74|77
32|20
32|47
87|62
74|88
52|16
77|96
17|49
99|87
74|89
93|37
96|83
77|21
37|29
94|42
52|77
54|96
59|93
62|70
72|90
88|89
74|16
45|83
70|36
54|38
39|21
47|45
43|42
42|32
47|89
75|77
26|56
75|43
72|66
47|40
21|49
94|88
94|40
88|39
38|39
81|38
56|16
42|39
11|32
29|72
93|30
75|39
21|37
44|39
12|95
88|21
77|16
67|38
89|90
30|38
38|89
29|47
94|79
70|54
62|42
96|94
76|32
54|94
47|72
56|52
91|37
93|49
95|72
11|79
52|70
96|81
72|43
30|62
82|92
92|36
62|81
76|44
26|99
21|40
39|89
40|52
59|62
81|17
94|38
21|59
75|88
16|87
72|56
88|37
36|99
92|75
92|67
96|43
21|67
88|29
93|70
83|66
39|82
66|52
96|38
38|79
82|66
89|52
67|17
87|94
26|79
26|12
44|83
11|52
54|43
82|96
36|42
16|12
66|62
91|49
30|99
93|21
90|32
90|93
38|47
79|32
54|40
72|36
90|52
79|37
70|11
92|12
38|83
91|30
12|62
92|87
87|75
49|67
59|94
62|83
16|94
87|40
16|47
99|32
87|74
74|54
47|36
17|77
30|12
88|66
75|32
11|83
20|76
96|75
26|76
42|17
43|70
36|45
12|76
94|95
83|36
47|11
42|93
11|95
32|91
11|93
96|62
45|17
52|37
30|11
54|95
95|30
47|75
40|93
43|17
76|95
11|38
70|30
26|75
47|26
29|40
66|93
17|26
38|95
79|44
93|77
52|32
17|83
37|90
17|72
12|43
76|45
87|52
42|88
12|54
26|94
47|67
20|43
49|26
38|74
93|20
16|26
62|38
21|54
89|30
17|91
75|38
62|44
81|83
95|21
36|66
52|79
